1712246894.618426 {'latitude': 51.211218333, 'longitude': 4.472605}
1712246901.378823 {'latitude': 51.21122, 'longitude': 4.472603333}
1712246911.837573 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246918.629121 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246925.630532 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246932.566328 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246939.425996 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246946.257483 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246953.092175 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246960.049029 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246966.936235 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712246973.744506 {'latitude': 51.211223333, 'longitude': 4.4726}
1712246980.565161 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712246987.43564 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712246994.309113 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712247001.321474 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712247008.342818 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712247015.355365 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712247022.247528 {'latitude': 51.211223333, 'longitude': 4.472598333}
1712247029.37471 {'latitude': 51.211223333, 'longitude': 4.472596667}
1712247036.278285 {'latitude': 51.211225, 'longitude': 4.47258}
1712247043.284748 {'latitude': 51.211226667, 'longitude': 4.472573333}
1712247050.142258 {'latitude': 51.211226667, 'longitude': 4.472573333}
1712247057.127911 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247065.673921 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247072.518704 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247079.490354 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247086.290116 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247093.203773 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247100.180871 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247106.88125 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247114.003725 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247120.80834 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247127.497437 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247134.172132 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247141.065146 {'latitude': 51.211223333, 'longitude': 4.472573333}
1712247147.923234 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247154.803872 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247161.66486 {'latitude': 51.211223333, 'longitude': 4.472573333}
1712247168.515673 {'latitude': 51.211223333, 'longitude': 4.472573333}
1712247175.475314 {'latitude': 51.211223333, 'longitude': 4.472573333}
1712247182.525316 {'latitude': 51.211223333, 'longitude': 4.472573333}
1712247189.411885 {'latitude': 51.211223333, 'longitude': 4.472573333}
1712247196.215776 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247203.085763 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247209.982085 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247216.96927 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247223.980683 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247230.913528 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247237.920335 {'latitude': 51.211223333, 'longitude': 4.472575}
1712247244.905647 {'latitude': 51.211225, 'longitude': 4.472575}
1712247251.879219 {'latitude': 51.211225, 'longitude': 4.472573333}
1712247258.665413 {'latitude': 51.211225, 'longitude': 4.47257}
1712247265.485821 {'latitude': 51.211225, 'longitude': 4.47257}
1712247272.289806 {'latitude': 51.211225, 'longitude': 4.47257}
1712247279.098077 {'latitude': 51.211225, 'longitude': 4.47257}
1712247286.121559 {'latitude': 51.211225, 'longitude': 4.47257}
1712247292.686803 {'latitude': 51.211225, 'longitude': 4.47257}
1712247299.499466 {'latitude': 51.211225, 'longitude': 4.47257}
1712247306.382971 {'latitude': 51.211225, 'longitude': 4.47257}
1712247313.085548 {'latitude': 51.211225, 'longitude': 4.47257}
1712247320.093868 {'latitude': 51.211225, 'longitude': 4.47257}
1712247326.813197 {'latitude': 51.211225, 'longitude': 4.472571667}
1712247333.687108 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247340.596441 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247347.405566 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247354.22551 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247361.077079 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247367.973443 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247374.876137 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247381.725087 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247388.608713 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247395.406733 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247402.19681 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247409.26538 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247416.109225 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247422.987626 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247429.911524 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247436.730706 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247443.523653 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247450.223429 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247457.077363 {'latitude': 51.211226667, 'longitude': 4.472571667}
1712247463.493184 {'latitude': 51.211225, 'longitude': 4.472575}
1712247468.04438 {'latitude': 51.211226667, 'longitude': 4.472575}
1712247475.084814 {'latitude': 51.211225, 'longitude': 4.472576667}
1712247482.041999 {'latitude': 51.211225, 'longitude': 4.472576667}
1712247488.871422 {'latitude': 51.211226667, 'longitude': 4.47258}
1712247495.798438 {'latitude': 51.211226667, 'longitude': 4.472585}
1712247502.782201 {'latitude': 51.211226667, 'longitude': 4.472585}
1712247509.447772 {'latitude': 51.211226667, 'longitude': 4.472585}
1712247516.474513 {'latitude': 51.211228333, 'longitude': 4.47258}
1712247523.555903 {'latitude': 51.211233333, 'longitude': 4.47257}
1712247530.374151 {'latitude': 51.211238333, 'longitude': 4.472565}
1712247537.341202 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247544.300718 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247551.152554 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247557.847072 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247564.774503 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247571.553566 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247578.571892 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247585.54966 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247592.628707 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247599.539589 {'latitude': 51.21124, 'longitude': 4.472556667}
1712247606.537974 {'latitude': 51.211238333, 'longitude': 4.472556667}
1712247613.533376 {'latitude': 51.211238333, 'longitude': 4.472556667}
1712247620.374345 {'latitude': 51.211238333, 'longitude': 4.472556667}
1712247626.159185 {'latitude': 51.211238333, 'longitude': 4.472556667}
1712247632.888932 {'latitude': 51.211236667, 'longitude': 4.472556667}
1712247639.599355 {'latitude': 51.211236667, 'longitude': 4.472556667}
1712247646.27285 {'latitude': 51.211233333, 'longitude': 4.472558333}
1712247652.987303 {'latitude': 51.211233333, 'longitude': 4.472558333}
1712247659.816089 {'latitude': 51.211233333, 'longitude': 4.472558333}
1712247666.493499 {'latitude': 51.211233333, 'longitude': 4.472553333}
1712247673.375296 {'latitude': 51.211231667, 'longitude': 4.472551667}
1712247680.273604 {'latitude': 51.211231667, 'longitude': 4.472551667}
1712247687.196394 {'latitude': 51.211231667, 'longitude': 4.472551667}
1712247694.094775 {'latitude': 51.211231667, 'longitude': 4.472551667}
1712247700.91659 {'latitude': 51.211231667, 'longitude': 4.472553333}
1712247712.281962 {'latitude': 51.211231667, 'longitude': 4.472553333}
1712247719.197912 {'latitude': 51.211231667, 'longitude': 4.472553333}
1712247726.194077 {'latitude': 51.211233333, 'longitude': 4.472553333}
1712247733.19515 {'latitude': 51.211235, 'longitude': 4.472553333}
1712247740.07232 {'latitude': 51.211235, 'longitude': 4.472553333}
1712247746.794824 {'latitude': 51.211235, 'longitude': 4.472553333}
1712247753.626275 {'latitude': 51.211233333, 'longitude': 4.472553333}
1712247760.394048 {'latitude': 51.211233333, 'longitude': 4.472553333}
1712247767.368345 {'latitude': 51.211233333, 'longitude': 4.472555}
1712247774.298362 {'latitude': 51.211233333, 'longitude': 4.472555}
