1715164774.231758 {'latitude': 51.335421667, 'longitude': 4.28312}
1715164776.182121 {'latitude': 51.335546667, 'longitude': 4.283121667}
1715164778.166609 {'latitude': 51.335713333, 'longitude': 4.283108333}
1715164780.15326 {'latitude': 51.335916667, 'longitude': 4.2831}
1715164782.044488 {'latitude': 51.33615, 'longitude': 4.283103333}
1715164784.014132 {'latitude': 51.336398333, 'longitude': 4.283125}
1715164785.993582 {'latitude': 51.336656667, 'longitude': 4.283165}
1715164787.903765 {'latitude': 51.336891667, 'longitude': 4.283221667}
1715164789.895892 {'latitude': 51.337093333, 'longitude': 4.283276667}
1715164791.901582 {'latitude': 51.337235, 'longitude': 4.28333}
1715164793.803512 {'latitude': 51.337281667, 'longitude': 4.283358333}
1715164795.790418 {'latitude': 51.337348333, 'longitude': 4.28341}
1715164797.77008 {'latitude': 51.337386667, 'longitude': 4.283443333}
1715164799.729981 {'latitude': 51.337416667, 'longitude': 4.283461667}
1715164801.723981 {'latitude': 51.33744, 'longitude': 4.283475}
1715164803.672403 {'latitude': 51.337446667, 'longitude': 4.283478333}
1715164805.631027 {'latitude': 51.337446667, 'longitude': 4.283476667}
1715164807.670836 {'latitude': 51.337443333, 'longitude': 4.283476667}
1715164809.691622 {'latitude': 51.337438333, 'longitude': 4.283473333}
1715164811.642108 {'latitude': 51.337431667, 'longitude': 4.283473333}
1715164813.682865 {'latitude': 51.337425, 'longitude': 4.28347}
1715164815.619417 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164817.587183 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164819.604324 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164821.651979 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164823.633019 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164825.573277 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164827.582222 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164829.551377 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164831.553145 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164833.49361 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164835.49332 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164837.521548 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164839.489417 {'latitude': 51.337421667, 'longitude': 4.283468333}
1715164841.45112 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164843.436477 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164845.414625 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164847.381853 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164849.359698 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164851.275983 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164853.275828 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164855.290744 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164857.281639 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164859.316053 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164861.2948 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164863.267007 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164865.225271 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164867.212649 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164869.222648 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164871.160953 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164873.151785 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164875.172714 {'latitude': 51.337421667, 'longitude': 4.28347}
1715164877.150038 {'latitude': 51.337421667, 'longitude': 4.28347}
