1715164775.86392 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164777.067298 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164778.218807 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164779.42568 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164780.580095 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164781.802385 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164782.95465 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164784.11543 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164785.273634 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164786.427999 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164787.584139 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164788.735538 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164789.893592 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164791.046249 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164792.199437 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164793.393941 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164794.591437 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164795.74288 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164796.89784 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164798.049609 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164799.207535 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164800.35903 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164801.518396 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164802.667557 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164803.817311 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164804.968547 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164806.127388 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164807.281758 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164808.441308 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164809.606691 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164810.76266 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164811.915535 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164813.065421 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164814.218066 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164815.372728 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164816.532601 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164817.68921 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164818.845643 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164820.005916 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164821.156626 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164822.310762 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164823.467856 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164824.622316 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164825.776133 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164826.932336 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164828.084852 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164829.239639 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164830.393857 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164831.552461 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164832.708149 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164833.867955 {'latitude': 51.21128, 'longitude': 4.472601667}
1715164835.067744 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164836.272911 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164837.510374 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164838.67412 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164839.833797 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164840.984838 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164842.134982 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164843.289294 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164844.44176 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164845.599669 {'latitude': 51.21128, 'longitude': 4.472603333}
1715164846.754196 {'latitude': 51.211281667, 'longitude': 4.472603333}
1715164847.906754 {'latitude': 51.211281667, 'longitude': 4.472603333}
1715164849.059916 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164850.211595 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164851.365259 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164852.517376 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164853.667052 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164854.820172 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164855.997275 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164857.1457 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164858.298954 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164859.450093 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164860.600537 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164861.756999 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164862.913767 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164864.070347 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164865.231614 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164866.392622 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164867.548884 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164868.701882 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164869.855491 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164871.007761 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164872.170173 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164873.3545 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164874.505132 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164875.659715 {'latitude': 51.211281667, 'longitude': 4.472601667}
1715164876.884026 {'latitude': 51.211281667, 'longitude': 4.4726}
1715164878.041684 {'latitude': 51.211283333, 'longitude': 4.472598333}
1715164879.198418 {'latitude': 51.211283333, 'longitude': 4.472595}
1715164880.352583 {'latitude': 51.211283333, 'longitude': 4.472593333}
1715164881.557666 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164882.7073 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164883.958271 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164885.110036 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164886.271398 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164887.436856 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164888.629957 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164889.785875 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164890.93941 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164892.091515 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164893.248235 {'latitude': 51.211285, 'longitude': 4.472588333}
1715164894.406378 {'latitude': 51.211283333, 'longitude': 4.472588333}
1715164895.561705 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164896.719655 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164897.875976 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164899.025892 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164900.177489 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164901.364123 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164902.607457 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164903.769332 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164904.931277 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164906.085649 {'latitude': 51.211283333, 'longitude': 4.47259}
1715164907.236588 {'latitude': 51.211285, 'longitude': 4.472591667}
1715164908.39469 {'latitude': 51.211285, 'longitude': 4.472591667}
1715164909.550573 {'latitude': 51.211285, 'longitude': 4.472591667}
1715164910.702214 {'latitude': 51.211285, 'longitude': 4.472591667}
1715164911.85788 {'latitude': 51.211285, 'longitude': 4.472591667}
1715164913.013241 {'latitude': 51.211285, 'longitude': 4.472591667}
1715164914.167771 {'latitude': 51.211286667, 'longitude': 4.472591667}
1715164915.320104 {'latitude': 51.211286667, 'longitude': 4.472591667}
1715164916.485572 {'latitude': 51.211288333, 'longitude': 4.47259}
1715164917.73973 {'latitude': 51.21129, 'longitude': 4.47259}
1715164918.897079 {'latitude': 51.21129, 'longitude': 4.47259}
1715164920.048883 {'latitude': 51.21129, 'longitude': 4.472588333}
1715164921.196389 {'latitude': 51.21129, 'longitude': 4.472588333}
1715164922.398037 {'latitude': 51.21129, 'longitude': 4.472588333}
1715164923.581347 {'latitude': 51.211291667, 'longitude': 4.472585}
1715164924.737463 {'latitude': 51.211291667, 'longitude': 4.472583333}
1715164925.89507 {'latitude': 51.211295, 'longitude': 4.47258}
1715164927.067584 {'latitude': 51.211296667, 'longitude': 4.472578333}
1715164928.221885 {'latitude': 51.211296667, 'longitude': 4.472578333}
1715164929.376144 {'latitude': 51.211296667, 'longitude': 4.472576667}
1715164930.542071 {'latitude': 51.211298333, 'longitude': 4.472573333}
